Six-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
224165,20,4,4
224166,21,5,3
224211,12,4,4
224212,13,5,3
224213,14,6,2
224214,15,7,1
224215,16,0,0
224216,17,1,7
224221,13,5,3
224222,14,6,2
224223,15,7,1
224224,16,0,0
224225,17,1,7
224226,18,2,6
224231,14,6,2
224232,15,7,1
224233,16,0,0
224234,17,1,7
224235,18,2,6
224236,19,3,5
224241,15,7,1
224242,16,0,0
224243,17,1,7
224244,18,2,6
224245,19,3,5
224246,20,4,4
224251,16,0,0
224252,17,1,7
224253,18,2,6
224254,19,3,5
224255,20,4,4
224256,21,5,3
224261,17,1,7
224262,18,2,6
224263,19,3,5
224264,20,4,4
224265,21,5,3
224266,22,6,2
224311,13,5,3
224312,14,6,2
224313,15,7,1
224314,16,0,0
224315,17,1,7
224316,18,2,6
224321,14,6,2
224322,15,7,1
224323,16,0,0
224324,17,1,7
224325,18,2,6
224326,19,3,5
224331,15,7,1
224332,16,0,0
224333,17,1,7
224334,18,2,6
224335,19,3,5
224336,20,4,4
224341,16,0,0
224342,17,1,7
224343,18,2,6
224344,19,3,5
224345,20,4,4
224346,21,5,3
224351,17,1,7
224352,18,2,6
224353,19,3,5
224354,20,4,4
224355,21,5,3
224356,22,6,2
224361,18,2,6
224362,19,3,5
224363,20,4,4
224364,21,5,3
224365,22,6,2
224366,23,7,1
224411,14,6,2
224412,15,7,1
224413,16,0,0
224414,17,1,7
224415,18,2,6
224416,19,3,5
224421,15,7,1
224422,16,0,0
224423,17,1,7
224424,18,2,6
224425,19,3,5
224426,20,4,4
224431,16,0,0
224432,17,1,7
224433,18,2,6
224434,19,3,5
224435,20,4,4
224436,21,5,3
224441,17,1,7
224442,18,2,6
224443,19,3,5
224444,20,4,4
224445,21,5,3
224446,22,6,2
224451,18,2,6
224452,19,3,5
224453,20,4,4
224454,21,5,3
224455,22,6,2
224456,23,7,1
224461,19,3,5
224462,20,4,4
224463,21,5,3
224464,22,6,2
224465,23,7,1
224466,24,0,0
224511,15,7,1
224512,16,0,0
224513,17,1,7
224514,18,2,6
224515,19,3,5
224516,20,4,4
224521,16,0,0
224522,17,1,7
224523,18,2,6
224524,19,3,5
224525,20,4,4
224526,21,5,3
224531,17,1,7
224532,18,2,6
224533,19,3,5
224534,20,4,4
224535,21,5,3
224536,22,6,2
224541,18,2,6
224542,19,3,5
224543,20,4,4
224544,21,5,3
224545,22,6,2
224546,23,7,1
224551,19,3,5
224552,20,4,4
224553,21,5,3
224554,22,6,2
224555,23,7,1
224556,24,0,0
224561,20,4,4
224562,21,5,3
224563,22,6,2
224564,23,7,1
224565,24,0,0
224566,25,1,7
224611,16,0,0
224612,17,1,7
224613,18,2,6
224614,19,3,5
224615,20,4,4
224616,21,5,3
224621,17,1,7
224622,18,2,6
224623,19,3,5
224624,20,4,4
224625,21,5,3
224626,22,6,2
224631,18,2,6
224632,19,3,5
224633,20,4,4
224634,21,5,3
224635,22,6,2
224636,23,7,1
224641,19,3,5
224642,20,4,4
224643,21,5,3
224644,22,6,2
224645,23,7,1
224646,24,0,0
224651,20,4,4
224652,21,5,3
224653,22,6,2
224654,23,7,1
224655,24,0,0
224656,25,1,7
224661,21,5,3
224662,22,6,2
224663,23,7,1
224664,24,0,0
224665,25,1,7
224666,26,2,6
225111,12,4,4
225112,13,5,3
225113,14,6,2
225114,15,7,1
225115,16,0,0
225116,17,1,7
225121,13,5,3
225122,14,6,2
225123,15,7,1
225124,16,0,0
225125,17,1,7
225126,18,2,6
225131,14,6,2
225132,15,7,1
225133,16,0,0
225134,17,1,7
225135,18,2,6
225136,19,3,5
225141,15,7,1
225142,16,0,0
225143,17,1,7
225144,18,2,6
225145,19,3,5
225146,20,4,4
225151,16,0,0
225152,17,1,7
225153,18,2,6
225154,19,3,5
225155,20,4,4
225156,21,5,3
225161,17,1,7
225162,18,2,6
225163,19,3,5
225164,20,4,4
225165,21,5,3
225166,22,6,2
225211,13,5,3
225212,14,6,2
225213,15,7,1
225214,16,0,0
225215,17,1,7
225216,18,2,6
225221,14,6,2
225222,15,7,1
225223,16,0,0
225224,17,1,7
225225,18,2,6
225226,19,3,5
225231,15,7,1
225232,16,0,0
225233,17,1,7
225234,18,2,6
225235,19,3,5
225236,20,4,4
225241,16,0,0
225242,17,1,7
225243,18,2,6
225244,19,3,5
225245,20,4,4
225246,21,5,3
225251,17,1,7
225252,18,2,6
225253,19,3,5
225254,20,4,4
225255,21,5,3
225256,22,6,2
225261,18,2,6
225262,19,3,5
225263,20,4,4
225264,21,5,3
225265,22,6,2
225266,23,7,1
225311,14,6,2
225312,15,7,1
225313,16,0,0
225314,17,1,7
225315,18,2,6
225316,19,3,5
225321,15,7,1
225322,16,0,0
225323,17,1,7
225324,18,2,6
225325,19,3,5
225326,20,4,4
225331,16,0,0
225332,17,1,7
225333,18,2,6
225334,19,3,5
225335,20,4,4
225336,21,5,3
225341,17,1,7
225342,18,2,6
225343,19,3,5
225344,20,4,4
225345,21,5,3
225346,22,6,2
225351,18,2,6
225352,19,3,5
225353,20,4,4
225354,21,5,3
225355,22,6,2
225356,23,7,1
225361,19,3,5
225362,20,4,4
225363,21,5,3
225364,22,6,2
225365,23,7,1
225366,24,0,0
225411,15,7,1
225412,16,0,0
225413,17,1,7
225414,18,2,6
225415,19,3,5
225416,20,4,4
225421,16,0,0
225422,17,1,7
225423,18,2,6
225424,19,3,5
225425,20,4,4
225426,21,5,3
225431,17,1,7
225432,18,2,6
225433,19,3,5
225434,20,4,4
225435,21,5,3
225436,22,6,2
225441,18,2,6
225442,19,3,5
225443,20,4,4
225444,21,5,3
225445,22,6,2
225446,23,7,1
225451,19,3,5
225452,20,4,4
225453,21,5,3
225454,22,6,2
225455,23,7,1
225456,24,0,0
225461,20,4,4
225462,21,5,3
225463,22,6,2
225464,23,7,1
225465,24,0,0
225466,25,1,7
225511,16,0,0
225512,17,1,7
225513,18,2,6
225514,19,3,5
225515,20,4,4
225516,21,5,3
225521,17,1,7
225522,18,2,6
225523,19,3,5
225524,20,4,4
225525,21,5,3
225526,22,6,2
225531,18,2,6
225532,19,3,5
225533,20,4,4
225534,21,5,3
225535,22,6,2
225536,23,7,1
225541,19,3,5
225542,20,4,4
225543,21,5,3
225544,22,6,2
225545,23,7,1
225546,24,0,0
225551,20,4,4
225552,21,5,3
225553,22,6,2
225554,23,7,1
225555,24,0,0
225556,25,1,7
225561,21,5,3
225562,22,6,2
225563,23,7,1
225564,24,0,0
225565,25,1,7
225566,26,2,6
225611,17,1,7
225612,18,2,6
225613,19,3,5
225614,20,4,4
225615,21,5,3
225616,22,6,2
225621,18,2,6
225622,19,3,5
225623,20,4,4
225624,21,5,3
225625,22,6,2
225626,23,7,1
225631,19,3,5
225632,20,4,4
225633,21,5,3
225634,22,6,2
225635,23,7,1
225636,24,0,0
225641,20,4,4
225642,21,5,3
225643,22,6,2
225644,23,7,1
225645,24,0,0
225646,25,1,7
225651,21,5,3
225652,22,6,2
225653,23,7,1
225654,24,0,0
225655,25,1,7
225656,26,2,6
225661,22,6,2
225662,23,7,1
225663,24,0,0
225664,25,1,7
225665,26,2,6
225666,27,3,5
226111,13,5,3
226112,14,6,2
226113,15,7,1
226114,16,0,0
226115,17,1,7
226116,18,2,6
226121,14,6,2
226122,15,7,1
226123,16,0,0
226124,17,1,7
226125,18,2,6
226126,19,3,5
226131,15,7,1
226132,16,0,0
226133,17,1,7
226134,18,2,6
226135,19,3,5
226136,20,4,4
226141,16,0,0
226142,17,1,7
226143,18,2,6
226144,19,3,5
226145,20,4,4
226146,21,5,3
226151,17,1,7
226152,18,2,6
226153,19,3,5
226154,20,4,4
226155,21,5,3
226156,22,6,2
226161,18,2,6
226162,19,3,5
226163,20,4,4
226164,21,5,3
226165,22,6,2
226166,23,7,1
226211,14,6,2
226212,15,7,1
226213,16,0,0
226214,17,1,7
226215,18,2,6
226216,19,3,5
226221,15,7,1
226222,16,0,0
226223,17,1,7
226224,18,2,6
226225,19,3,5
226226,20,4,4
226231,16,0,0
226232,17,1,7
226233,18,2,6
226234,19,3,5
226235,20,4,4
226236,21,5,3
226241,17,1,7
226242,18,2,6
226243,19,3,5
226244,20,4,4
226245,21,5,3
226246,22,6,2
226251,18,2,6
226252,19,3,5
226253,20,4,4
226254,21,5,3
226255,22,6,2
226256,23,7,1
226261,19,3,5
226262,20,4,4
226263,21,5,3
226264,22,6,2
226265,23,7,1
226266,24,0,0
226311,15,7,1
226312,16,0,0
226313,17,1,7
226314,18,2,6
226315,19,3,5
226316,20,4,4
226321,16,0,0
226322,17,1,7
226323,18,2,6
226324,19,3,5
226325,20,4,4
226326,21,5,3
226331,17,1,7
226332,18,2,6
226333,19,3,5
226334,20,4,4
226335,21,5,3
226336,22,6,2
226341,18,2,6
226342,19,3,5
226343,20,4,4
226344,21,5,3
226345,22,6,2
226346,23,7,1
226351,19,3,5
226352,20,4,4
226353,21,5,3
226354,22,6,2
226355,23,7,1
226356,24,0,0
226361,20,4,4
226362,21,5,3
226363,22,6,2
226364,23,7,1
226365,24,0,0
226366,25,1,7
226411,16,0,0
226412,17,1,7
226413,18,2,6
226414,19,3,5
226415,20,4,4
226416,21,5,3
226421,17,1,7
226422,18,2,6
226423,19,3,5
226424,20,4,4
226425,21,5,3
226426,22,6,2
226431,18,2,6
226432,19,3,5
226433,20,4,4
226434,21,5,3
226435,22,6,2
226436,23,7,1
226441,19,3,5
226442,20,4,4
226443,21,5,3
226444,22,6,2
226445,23,7,1
226446,24,0,0
226451,20,4,4
226452,21,5,3
226453,22,6,2
226454,23,7,1
226455,24,0,0
226456,25,1,7
226461,21,5,3
226462,22,6,2
226463,23,7,1
226464,24,0,0
226465,25,1,7
226466,26,2,6
226511,17,1,7
226512,18,2,6
226513,19,3,5
226514,20,4,4
226515,21,5,3
226516,22,6,2
226521,18,2,6
226522,19,3,5
226523,20,4,4
226524,21,5,3
226525,22,6,2
226526,23,7,1
226531,19,3,5
226532,20,4,4
226533,21,5,3
226534,22,6,2
226535,23,7,1
226536,24,0,0
226541,20,4,4
226542,21,5,3
226543,22,6,2
226544,23,7,1
226545,24,0,0
226546,25,1,7
226551,21,5,3
226552,22,6,2
226553,23,7,1
226554,24,0,0
226555,25,1,7
226556,26,2,6
226561,22,6,2
226562,23,7,1
226563,24,0,0
226564,25,1,7
226565,26,2,6
226566,27,3,5
226611,18,2,6
226612,19,3,5
226613,20,4,4
226614,21,5,3
226615,22,6,2
226616,23,7,1
226621,19,3,5
226622,20,4,4
226623,21,5,3
226624,22,6,2
226625,23,7,1
226626,24,0,0
226631,20,4,4
226632,21,5,3
226633,22,6,2
226634,23,7,1
226635,24,0,0
226636,25,1,7
226641,21,5,3
226642,22,6,2
226643,23,7,1
226644,24,0,0
226645,25,1,7
226646,26,2,6
226651,22,6,2
226652,23,7,1
226653,24,0,0
226654,25,1,7
226655,26,2,6
226656,27,3,5
226661,23,7,1
226662,24,0,0
226663,25,1,7
226664,26,2,6
226665,27,3,5
226666,28,4,4
231111,9,1,7
231112,10,2,6
231113,11,3,5
231114,12,4,4
231115,13,5,3
231116,14,6,2
231121,10,2,6
231122,11,3,5
231123,12,4,4
231124,13,5,3
231125,14,6,2
231126,15,7,1
231131,11,3,5
231132,12,4,4
231133,13,5,3
231134,14,6,2
231135,15,7,1
231136,16,0,0
231141,12,4,4
231142,13,5,3
231143,14,6,2
231144,15,7,1
231145,16,0,0
231146,17,1,7
231151,13,5,3
231152,14,6,2
231153,15,7,1
231154,16,0,0
231155,17,1,7
231156,18,2,6
231161,14,6,2
231162,15,7,1
231163,16,0,0
231164,17,1,7
231165,18,2,6
231166,19,3,5
231211,10,2,6
231212,11,3,5
231213,12,4,4
231214,13,5,3
231215,14,6,2
231216,15,7,1
231221,11,3,5
231222,12,4,4
231223,13,5,3
231224,14,6,2
231225,15,7,1
231226,16,0,0
231231,12,4,4
231232,13,5,3
231233,14,6,2
231234,15,7,1
231235,16,0,0
231236,17,1,7
231241,13,5,3
231242,14,6,2
231243,15,7,1
231244,16,0,0
231245,17,1,7
231246,18,2,6
231251,14,6,2
231252,15,7,1
231253,16,0,0
231254,17,1,7
231255,18,2,6
231256,19,3,5
231261,15,7,1
231262,16,0,0
231263,17,1,7
231264,18,2,6
231265,19,3,5
231266,20,4,4
231311,11,3,5
231312,12,4,4
231313,13,5,3
231314,14,6,2
231315,15,7,1
231316,16,0,0
231321,12,4,4
231322,13,5,3
231323,14,6,2
231324,15,7,1
231325,16,0,0
231326,17,1,7
231331,13,5,3
231332,14,6,2
231333,15,7,1
231334,16,0,0
231335,17,1,7
231336,18,2,6
231341,14,6,2
231342,15,7,1
231343,16,0,0
231344,17,1,7
231345,18,2,6
231346,19,3,5
231351,15,7,1
231352,16,0,0
231353,17,1,7
231354,18,2,6
231355,19,3,5
231356,20,4,4
231361,16,0,0
231362,17,1,7
231363,18,2,6
231364,19,3,5
231365,20,4,4
231366,21,5,3
231411,12,4,4
231412,13,5,3
231413,14,6,2
231414,15,7,1
231415,16,0,0
231416,17,1,7
231421,13,5,3
231422,14,6,2
231423,15,7,1
231424,16,0,0
231425,17,1,7
231426,18,2,6
231431,14,6,2
231432,15,7,1
231433,16,0,0
231434,17,1,7
231435,18,2,6
231436,19,3,5
231441,15,7,1
231442,16,0,0
231443,17,1,7
231444,18,2,6
231445,19,3,5
231446,20,4,4
231451,16,0,0
231452,17,1,7
231453,18,2,6
231454,19,3,5
231455,20,4,4
231456,21,5,3
231461,17,1,7
231462,18,2,6
231463,19,3,5
231464,20,4,4
231465,21,5,3
231466,22,6,2
231511,13,5,3
231512,14,6,2
231513,15,7,1
231514,16,0,0
231515,17,1,7
231516,18,2,6
231521,14,6,2
231522,15,7,1
231523,16,0,0
231524,17,1,7
231525,18,2,6
231526,19,3,5
231531,15,7,1
231532,16,0,0
231533,17,1,7
231534,18,2,6
231535,19,3,5
231536,20,4,4
231541,16,0,0
231542,17,1,7
231543,18,2,6
231544,19,3,5
231545,20,4,4
231546,21,5,3
231551,17,1,7
231552,18,2,6
231553,19,3,5
231554,20,4,4
231555,21,5,3
231556,22,6,2
231561,18,2,6
231562,19,3,5
231563,20,4,4
231564,21,5,3
231565,22,6,2
231566,23,7,1
231611,14,6,2
231612,15,7,1
231613,16,0,0
231614,17,1,7
231615,18,2,6
231616,19,3,5
231621,15,7,1
231622,16,0,0
231623,17,1,7
231624,18,2,6
231625,19,3,5
231626,20,4,4
231631,16,0,0
231632,17,1,7
231633,18,2,6
231634,19,3,5
231635,20,4,4
231636,21,5,3
231641,17,1,7
231642,18,2,6
231643,19,3,5
231644,20,4,4
231645,21,5,3
231646,22,6,2
231651,18,2,6
231652,19,3,5
231653,20,4,4
231654,21,5,3
231655,22,6,2
231656,23,7,1
231661,19,3,5
231662,20,4,4
231663,21,5,3
231664,22,6,2
231665,23,7,1
231666,24,0,0
232111,10,2,6
232112,11,3,5
232113,12,4,4
232114,13,5,3
232115,14,6,2
232116,15,7,1
232121,11,3,5
232122,12,4,4
232123,13,5,3
232124,14,6,2
232125,15,7,1
232126,16,0,0
232131,12,4,4
232132,13,5,3
232133,14,6,2
232134,15,7,1
232135,16,0,0
232136,17,1,7
232141,13,5,3
232142,14,6,2
232143,15,7,1
232144,16,0,0
232145,17,1,7
232146,18,2,6
232151,14,6,2
232152,15,7,1
232153,16,0,0
232154,17,1,7
232155,18,2,6
232156,19,3,5
232161,15,7,1
232162,16,0,0
232163,17,1,7
232164,18,2,6
232165,19,3,5
232166,20,4,4
232211,11,3,5
232212,12,4,4
232213,13,5,3
232214,14,6,2
232215,15,7,1
232216,16,0,0
232221,12,4,4
232222,13,5,3
232223,14,6,2
232224,15,7,1
232225,16,0,0
232226,17,1,7
232231,13,5,3
232232,14,6,2
232233,15,7,1
232234,16,0,0
232235,17,1,7
232236,18,2,6
232241,14,6,2
232242,15,7,1
232243,16,0,0
232244,17,1,7
232245,18,2,6
232246,19,3,5
232251,15,7,1
232252,16,0,0
232253,17,1,7
232254,18,2,6
232255,19,3,5
232256,20,4,4
232261,16,0,0
232262,17,1,7
232263,18,2,6
232264,19,3,5
232265,20,4,4
232266,21,5,3
232311,12,4,4
232312,13,5,3
232313,14,6,2
232314,15,7,1
232315,16,0,0
232316,17,1,7
232321,13,5,3
232322,14,6,2
232323,15,7,1
232324,16,0,0
232325,17,1,7
232326,18,2,6
232331,14,6,2
232332,15,7,1
232333,16,0,0
232334,17,1,7
232335,18,2,6
232336,19,3,5
232341,15,7,1
232342,16,0,0
232343,17,1,7
232344,18,2,6
232345,19,3,5
232346,20,4,4
232351,16,0,0
232352,17,1,7
232353,18,2,6
232354,19,3,5
232355,20,4,4
232356,21,5,3
232361,17,1,7
232362,18,2,6
232363,19,3,5
232364,20,4,4
232365,21,5,3
232366,22,6,2
232411,13,5,3
232412,14,6,2
232413,15,7,1
232414,16,0,0
232415,17,1,7
232416,18,2,6
232421,14,6,2
232422,15,7,1
232423,16,0,0
232424,17,1,7
232425,18,2,6
232426,19,3,5
232431,15,7,1
232432,16,0,0
232433,17,1,7
232434,18,2,6
232435,19,3,5
232436,20,4,4
232441,16,0,0
232442,17,1,7
232443,18,2,6
232444,19,3,5
232445,20,4,4
232446,21,5,3
232451,17,1,7
232452,18,2,6
232453,19,3,5
232454,20,4,4
232455,21,5,3
232456,22,6,2
232461,18,2,6
232462,19,3,5
232463,20,4,4
232464,21,5,3
232465,22,6,2
232466,23,7,1
232511,14,6,2
232512,15,7,1
232513,16,0,0
232514,17,1,7
232515,18,2,6
232516,19,3,5
232521,15,7,1
232522,16,0,0
232523,17,1,7
232524,18,2,6
232525,19,3,5
232526,20,4,4
232531,16,0,0
232532,17,1,7
232533,18,2,6
232534,19,3,5
232535,20,4,4
232536,21,5,3
232541,17,1,7
232542,18,2,6
232543,19,3,5
232544,20,4,4
232545,21,5,3
232546,22,6,2
232551,18,2,6
232552,19,3,5
232553,20,4,4
232554,21,5,3
232555,22,6,2
232556,23,7,1
232561,19,3,5
232562,20,4,4
232563,21,5,3
232564,22,6,2
232565,23,7,1
232566,24,0,0
232611,15,7,1
232612,16,0,0
232613,17,1,7
232614,18,2,6
232615,19,3,5
232616,20,4,4
232621,16,0,0
232622,17,1,7
232623,18,2,6
232624,19,3,5
232625,20,4,4
232626,21,5,3
232631,17,1,7
232632,18,2,6
232633,19,3,5
232634,20,4,4
232635,21,5,3
232636,22,6,2
232641,18,2,6
232642,19,3,5
232643,20,4,4
232644,21,5,3
232645,22,6,2
232646,23,7,1
232651,19,3,5
232652,20,4,4
232653,21,5,3
232654,22,6,2
232655,23,7,1
232656,24,0,0
232661,20,4,4
232662,21,5,3
232663,22,6,2
232664,23,7,1
232665,24,0,0
232666,25,1,7
233111,11,3,5
233112,12,4,4
233113,13,5,3
233114,14,6,2
233115,15,7,1
233116,16,0,0
233121,12,4,4
233122,13,5,3
233123,14,6,2
233124,15,7,1
233125,16,0,0
233126,17,1,7
233131,13,5,3
233132,14,6,2
233133,15,7,1
233134,16,0,0
233135,17,1,7
233136,18,2,6
233141,14,6,2
233142,15,7,1
233143,16,0,0
233144,17,1,7
233145,18,2,6
233146,19,3,5
233151,15,7,1
233152,16,0,0
233153,17,1,7
233154,18,2,6
233155,19,3,5
233156,20,4,4
233161,16,0,0
233162,17,1,7
233163,18,2,6
233164,19,3,5
233165,20,4,4
233166,21,5,3
233211,12,4,4
233212,13,5,3
233213,14,6,2
233214,15,7,1
233215,16,0,0
233216,17,1,7
233221,13,5,3
233222,14,6,2
233223,15,7,1
233224,16,0,0
233225,17,1,7
233226,18,2,6
233231,14,6,2
233232,15,7,1
233233,16,0,0
233234,17,1,7
233235,18,2,6
233236,19,3,5
233241,15,7,1
233242,16,0,0
233243,17,1,7
233244,18,2,6
233245,19,3,5
233246,20,4,4
233251,16,0,0
233252,17,1,7
233253,18,2,6
233254,19,3,5
233255,20,4,4
233256,21,5,3
233261,17,1,7
233262,18,2,6
233263,19,3,5
233264,20,4,4
233265,21,5,3
233266,22,6,2
233311,13,5,3
233312,14,6,2
233313,15,7,1
233314,16,0,0
233315,17,1,7
233316,18,2,6
233321,14,6,2
233322,15,7,1
233323,16,0,0
233324,17,1,7
233325,18,2,6
233326,19,3,5
233331,15,7,1
233332,16,0,0
233333,17,1,7
233334,18,2,6
233335,19,3,5
233336,20,4,4
233341,16,0,0
233342,17,1,7
233343,18,2,6
233344,19,3,5
233345,20,4,4
233346,21,5,3
233351,17,1,7
233352,18,2,6
233353,19,3,5
233354,20,4,4
233355,21,5,3
233356,22,6,2
233361,18,2,6
233362,19,3,5
233363,20,4,4
233364,21,5,3
233365,22,6,2
233366,23,7,1
233411,14,6,2
233412,15,7,1
233413,16,0,0
233414,17,1,7
233415,18,2,6
233416,19,3,5
233421,15,7,1
233422,16,0,0
233423,17,1,7
233424,18,2,6
233425,19,3,5
233426,20,4,4
233431,16,0,0
233432,17,1,7
233433,18,2,6
233434,19,3,5
233435,20,4,4
233436,21,5,3
233441,17,1,7
233442,18,2,6
233443,19,3,5
233444,20,4,4
233445,21,5,3
233446,22,6,2
233451,18,2,6
233452,19,3,5
233453,20,4,4
233454,21,5,3
233455,22,6,2
233456,23,7,1
233461,19,3,5
233462,20,4,4
233463,21,5,3
233464,22,6,2
233465,23,7,1
233466,24,0,0
233511,15,7,1
233512,16,0,0
233513,17,1,7
233514,18,2,6
233515,19,3,5
233516,20,4,4
233521,16,0,0
233522,17,1,7
233523,18,2,6
233524,19,3,5
233525,20,4,4
233526,21,5,3
233531,17,1,7
233532,18,2,6
233533,19,3,5
233534,20,4,4
233535,21,5,3
233536,22,6,2
233541,18,2,6
233542,19,3,5
233543,20,4,4
233544,21,5,3
233545,22,6,2
233546,23,7,1
233551,19,3,5
233552,20,4,4
233553,21,5,3
233554,22,6,2
233555,23,7,1
233556,24,0,0
233561,20,4,4
233562,21,5,3
233563,22,6,2
233564,23,7,1
233565,24,0,0
233566,25,1,7
233611,16,0,0
233612,17,1,7
233613,18,2,6
233614,19,3,5
233615,20,4,4
233616,21,5,3
233621,17,1,7
233622,18,2,6
233623,19,3,5
233624,20,4,4
233625,21,5,3
233626,22,6,2
233631,18,2,6
233632,19,3,5
233633,20,4,4
233634,21,5,3
233635,22,6,2
233636,23,7,1
233641,19,3,5
233642,20,4,4
233643,21,5,3
233644,22,6,2
233645,23,7,1
233646,24,0,0
233651,20,4,4
233652,21,5,3
233653,22,6,2
233654,23,7,1
233655,24,0,0
233656,25,1,7
233661,21,5,3
233662,22,6,2
233663,23,7,1
233664,24,0,0
233665,25,1,7
233666,26,2,6
234111,12,4,4
234112,13,5,3
234113,14,6,2
234114,15,7,1
234115,16,0,0
234116,17,1,7
234121,13,5,3
234122,14,6,2
234123,15,7,1
234124,16,0,0
234125,17,1,7
234126,18,2,6
234131,14,6,2
234132,15,7,1
234133,16,0,0
234134,17,1,7
234135,18,2,6
234136,19,3,5
234141,15,7,1
234142,16,0,0
234143,17,1,7
234144,18,2,6
234145,19,3,5
234146,20,4,4
234151,16,0,0
234152,17,1,7
234153,18,2,6
234154,19,3,5
234155,20,4,4
234156,21,5,3
234161,17,1,7
234162,18,2,6
234163,19,3,5
234164,20,4,4
234165,21,5,3
234166,22,6,2
234211,13,5,3
234212,14,6,2
234213,15,7,1
234214,16,0,0
234215,17,1,7
234216,18,2,6
234221,14,6,2
234222,15,7,1
234223,16,0,0
234224,17,1,7
234225,18,2,6
234226,19,3,5
234231,15,7,1
234232,16,0,0
234233,17,1,7
234234,18,2,6
234235,19,3,5
234236,20,4,4
234241,16,0,0
234242,17,1,7
234243,18,2,6
234244,19,3,5
234245,20,4,4
234246,21,5,3
234251,17,1,7
234252,18,2,6
234253,19,3,5
234254,20,4,4
234255,21,5,3
234256,22,6,2
234261,18,2,6
234262,19,3,5
234263,20,4,4
234264,21,5,3
234265,22,6,2
234266,23,7,1
234311,14,6,2
234312,15,7,1
234313,16,0,0
234314,17,1,7
234315,18,2,6
234316,19,3,5
234321,15,7,1
234322,16,0,0
234323,17,1,7
234324,18,2,6
234325,19,3,5
234326,20,4,4
234331,16,0,0
234332,17,1,7
234333,18,2,6
234334,19,3,5
234335,20,4,4
234336,21,5,3
234341,17,1,7
234342,18,2,6
234343,19,3,5
234344,20,4,4
234345,21,5,3
234346,22,6,2
234351,18,2,6
234352,19,3,5
234353,20,4,4
234354,21,5,3
234355,22,6,2
234356,23,7,1
234361,19,3,5
234362,20,4,4
234363,21,5,3
234364,22,6,2
234365,23,7,1
234366,24,0,0
234411,15,7,1
234412,16,0,0
234413,17,1,7
234414,18,2,6
234415,19,3,5
234416,20,4,4
234421,16,0,0
234422,17,1,7
234423,18,2,6
234424,19,3,5
234425,20,4,4
234426,21,5,3
234431,17,1,7
234432,18,2,6
234433,19,3,5
234434,20,4,4
234435,21,5,3
234436,22,6,2
234441,18,2,6
234442,19,3,5
234443,20,4,4
234444,21,5,3
234445,22,6,2
234446,23,7,1
234451,19,3,5
234452,20,4,4
234453,21,5,3
234454,22,6,2
234455,23,7,1
234456,24,0,0
234461,20,4,4
234462,21,5,3
234463,22,6,2
234464,23,7,1
234465,24,0,0
234466,25,1,7
234511,16,0,0
234512,17,1,7
234513,18,2,6
234514,19,3,5
234515,20,4,4
234516,21,5,3
234521,17,1,7
234522,18,2,6
234523,19,3,5
234524,20,4,4
234525,21,5,3
234526,22,6,2
234531,18,2,6
234532,19,3,5
234533,20,4,4
234534,21,5,3
234535,22,6,2
234536,23,7,1
234541,19,3,5
234542,20,4,4
234543,21,5,3
234544,22,6,2
234545,23,7,1
234546,24,0,0
234551,20,4,4
234552,21,5,3
234553,22,6,2
234554,23,7,1
234555,24,0,0
234556,25,1,7
234561,21,5,3
234562,22,6,2
234563,23,7,1
234564,24,0,0
234565,25,1,7
234566,26,2,6
234611,17,1,7
234612,18,2,6
234613,19,3,5
234614,20,4,4
234615,21,5,3
234616,22,6,2
234621,18,2,6
234622,19,3,5
234623,20,4,4
234624,21,5,3
234625,22,6,2
234626,23,7,1
234631,19,3,5
234632,20,4,4
234633,21,5,3
234634,22,6,2
234635,23,7,1
234636,24,0,0
234641,20,4,4
234642,21,5,3
234643,22,6,2
234644,23,7,1
234645,24,0,0
234646,25,1,7
234651,21,5,3
234652,22,6,2
234653,23,7,1
234654,24,0,0
234655,25,1,7
234656,26,2,6
234661,22,6,2
234662,23,7,1
234663,24,0,0
234664,25,1,7
234665,26,2,6
234666,27,3,5
235111,13,5,3
235112,14,6,2
235113,15,7,1
235114,16,0,0
235115,17,1,7
235116,18,2,6
235121,14,6,2
235122,15,7,1
235123,16,0,0
235124,17,1,7
235125,18,2,6
235126,19,3,5
235131,15,7,1
235132,16,0,0
235133,17,1,7
235134,18,2,6
235135,19,3,5
235136,20,4,4
235141,16,0,0
235142,17,1,7
235143,18,2,6
235144,19,3,5
235145,20,4,4
235146,21,5,3
235151,17,1,7
235152,18,2,6
235153,19,3,5
235154,20,4,4
235155,21,5,3
235156,22,6,2
235161,18,2,6
235162,19,3,5
235163,20,4,4
235164,21,5,3
235165,22,6,2
235166,23,7,1
235211,14,6,2
235212,15,7,1
235213,16,0,0
235214,17,1,7
235215,18,2,6
235216,19,3,5
235221,15,7,1
235222,16,0,0
235223,17,1,7
235224,18,2,6
235225,19,3,5
235226,20,4,4
235231,16,0,0
235232,17,1,7
235233,18,2,6
235234,19,3,5
235235,20,4,4
235236,21,5,3
235241,17,1,7
235242,18,2,6
235243,19,3,5
235244,20,4,4
235245,21,5,3
235246,22,6,2
235251,18,2,6
235252,19,3,5
235253,20,4,4
235254,21,5,3
235255,22,6,2
235256,23,7,1
235261,19,3,5
235262,20,4,4
235263,21,5,3
235264,22,6,2
235265,23,7,1
235266,24,0,0
235311,15,7,1
