Six-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
112454,17,1,7
112455,18,2,6
112456,19,3,5
112461,15,7,1
112462,16,0,0
112463,17,1,7
112464,18,2,6
112465,19,3,5
112466,20,4,4
112511,11,3,5
112512,12,4,4
112513,13,5,3
112514,14,6,2
112515,15,7,1
112516,16,0,0
112521,12,4,4
112522,13,5,3
112523,14,6,2
112524,15,7,1
112525,16,0,0
112526,17,1,7
112531,13,5,3
112532,14,6,2
112533,15,7,1
112534,16,0,0
112535,17,1,7
112536,18,2,6
112541,14,6,2
112542,15,7,1
112543,16,0,0
112544,17,1,7
112545,18,2,6
112546,19,3,5
112551,15,7,1
112552,16,0,0
112553,17,1,7
112554,18,2,6
112555,19,3,5
112556,20,4,4
112561,16,0,0
112562,17,1,7
112563,18,2,6
112564,19,3,5
112565,20,4,4
112566,21,5,3
112611,12,4,4
112612,13,5,3
112613,14,6,2
112614,15,7,1
112615,16,0,0
112616,17,1,7
112621,13,5,3
112622,14,6,2
112623,15,7,1
112624,16,0,0
112625,17,1,7
112626,18,2,6
112631,14,6,2
112632,15,7,1
112633,16,0,0
112634,17,1,7
112635,18,2,6
112636,19,3,5
112641,15,7,1
112642,16,0,0
112643,17,1,7
112644,18,2,6
112645,19,3,5
112646,20,4,4
112651,16,0,0
112652,17,1,7
112653,18,2,6
112654,19,3,5
112655,20,4,4
112656,21,5,3
112661,17,1,7
112662,18,2,6
112663,19,3,5
112664,20,4,4
112665,21,5,3
112666,22,6,2
113111,8,0,0
113112,9,1,7
113113,10,2,6
113114,11,3,5
113115,12,4,4
113116,13,5,3
113121,9,1,7
113122,10,2,6
113123,11,3,5
113124,12,4,4
113125,13,5,3
113126,14,6,2
113131,10,2,6
113132,11,3,5
113133,12,4,4
113134,13,5,3
113135,14,6,2
113136,15,7,1
113141,11,3,5
113142,12,4,4
113143,13,5,3
113144,14,6,2
113145,15,7,1
113146,16,0,0
113151,12,4,4
113152,13,5,3
113153,14,6,2
113154,15,7,1
113155,16,0,0
113156,17,1,7
113161,13,5,3
113162,14,6,2
113163,15,7,1
113164,16,0,0
113165,17,1,7
113166,18,2,6
113211,9,1,7
113212,10,2,6
113213,11,3,5
113214,12,4,4
113215,13,5,3
113216,14,6,2
113221,10,2,6
113222,11,3,5
113223,12,4,4
113224,13,5,3
113225,14,6,2
113226,15,7,1
113231,11,3,5
113232,12,4,4
113233,13,5,3
113234,14,6,2
113235,15,7,1
113236,16,0,0
113241,12,4,4
113242,13,5,3
113243,14,6,2
113244,15,7,1
113245,16,0,0
113246,17,1,7
113251,13,5,3
113252,14,6,2
113253,15,7,1
113254,16,0,0
113255,17,1,7
113256,18,2,6
113261,14,6,2
113262,15,7,1
113263,16,0,0
113264,17,1,7
113265,18,2,6
113266,19,3,5
113311,10,2,6
113312,11,3,5
113313,12,4,4
113314,13,5,3
113315,14,6,2
113316,15,7,1
113321,11,3,5
113322,12,4,4
113323,13,5,3
113324,14,6,2
113325,15,7,1
113326,16,0,0
113331,12,4,4
113332,13,5,3
113333,14,6,2
113334,15,7,1
113335,16,0,0
113336,17,1,7
113341,13,5,3
113342,14,6,2
113343,15,7,1
113344,16,0,0
113345,17,1,7
113346,18,2,6
113351,14,6,2
113352,15,7,1
113353,16,0,0
113354,17,1,7
113355,18,2,6
113356,19,3,5
113361,15,7,1
113362,16,0,0
113363,17,1,7
113364,18,2,6
113365,19,3,5
113366,20,4,4
113411,11,3,5
113412,12,4,4
113413,13,5,3
113414,14,6,2
113415,15,7,1
113416,16,0,0
113421,12,4,4
113422,13,5,3
113423,14,6,2
113424,15,7,1
113425,16,0,0
113426,17,1,7
113431,13,5,3
113432,14,6,2
113433,15,7,1
113434,16,0,0
113435,17,1,7
113436,18,2,6
113441,14,6,2
113442,15,7,1
113443,16,0,0
113444,17,1,7
113445,18,2,6
113446,19,3,5
113451,15,7,1
113452,16,0,0
113453,17,1,7
113454,18,2,6
113455,19,3,5
113456,20,4,4
113461,16,0,0
113462,17,1,7
113463,18,2,6
113464,19,3,5
113465,20,4,4
113466,21,5,3
113511,12,4,4
113512,13,5,3
113513,14,6,2
113514,15,7,1
113515,16,0,0
113516,17,1,7
113521,13,5,3
113522,14,6,2
113523,15,7,1
113524,16,0,0
113525,17,1,7
113526,18,2,6
113531,14,6,2
113532,15,7,1
113533,16,0,0
113534,17,1,7
113535,18,2,6
113536,19,3,5
113541,15,7,1
113542,16,0,0
113543,17,1,7
113544,18,2,6
113545,19,3,5
113546,20,4,4
113551,16,0,0
113552,17,1,7
113553,18,2,6
113554,19,3,5
113555,20,4,4
113556,21,5,3
113561,17,1,7
113562,18,2,6
113563,19,3,5
113564,20,4,4
113565,21,5,3
113566,22,6,2
113611,13,5,3
113612,14,6,2
113613,15,7,1
113614,16,0,0
113615,17,1,7
113616,18,2,6
113621,14,6,2
113622,15,7,1
113623,16,0,0
113624,17,1,7
113625,18,2,6
113626,19,3,5
113631,15,7,1
113632,16,0,0
113633,17,1,7
113634,18,2,6
113635,19,3,5
113636,20,4,4
113641,16,0,0
113642,17,1,7
113643,18,2,6
113644,19,3,5
113645,20,4,4
113646,21,5,3
113651,17,1,7
113652,18,2,6
113653,19,3,5
113654,20,4,4
113655,21,5,3
113656,22,6,2
113661,18,2,6
113662,19,3,5
113663,20,4,4
113664,21,5,3
113665,22,6,2
113666,23,7,1
114111,9,1,7
114112,10,2,6
114113,11,3,5
114114,12,4,4
114115,13,5,3
114116,14,6,2
114121,10,2,6
114122,11,3,5
114123,12,4,4
114124,13,5,3
114125,14,6,2
114126,15,7,1
114131,11,3,5
114132,12,4,4
114133,13,5,3
114134,14,6,2
114135,15,7,1
114136,16,0,0
114141,12,4,4
114142,13,5,3
114143,14,6,2
114144,15,7,1
114145,16,0,0
114146,17,1,7
114151,13,5,3
114152,14,6,2
114153,15,7,1
114154,16,0,0
114155,17,1,7
114156,18,2,6
114161,14,6,2
114162,15,7,1
114163,16,0,0
114164,17,1,7
114165,18,2,6
114166,19,3,5
114211,10,2,6
114212,11,3,5
114213,12,4,4
114214,13,5,3
114215,14,6,2
114216,15,7,1
114221,11,3,5
114222,12,4,4
114223,13,5,3
114224,14,6,2
114225,15,7,1
114226,16,0,0
114231,12,4,4
114232,13,5,3
114233,14,6,2
114234,15,7,1
114235,16,0,0
114236,17,1,7
114241,13,5,3
114242,14,6,2
114243,15,7,1
114244,16,0,0
114245,17,1,7
114246,18,2,6
114251,14,6,2
114252,15,7,1
114253,16,0,0
114254,17,1,7
114255,18,2,6
114256,19,3,5
114261,15,7,1
114262,16,0,0
114263,17,1,7
114264,18,2,6
114265,19,3,5
114266,20,4,4
114311,11,3,5
114312,12,4,4
114313,13,5,3
114314,14,6,2
114315,15,7,1
114316,16,0,0
114321,12,4,4
114322,13,5,3
114323,14,6,2
114324,15,7,1
114325,16,0,0
114326,17,1,7
114331,13,5,3
114332,14,6,2
114333,15,7,1
114334,16,0,0
114335,17,1,7
114336,18,2,6
114341,14,6,2
114342,15,7,1
114343,16,0,0
114344,17,1,7
114345,18,2,6
114346,19,3,5
114351,15,7,1
114352,16,0,0
114353,17,1,7
114354,18,2,6
114355,19,3,5
114356,20,4,4
114361,16,0,0
114362,17,1,7
114363,18,2,6
114364,19,3,5
114365,20,4,4
114366,21,5,3
114411,12,4,4
114412,13,5,3
114413,14,6,2
114414,15,7,1
114415,16,0,0
114416,17,1,7
114421,13,5,3
114422,14,6,2
114423,15,7,1
114424,16,0,0
114425,17,1,7
114426,18,2,6
114431,14,6,2
114432,15,7,1
114433,16,0,0
114434,17,1,7
114435,18,2,6
114436,19,3,5
114441,15,7,1
114442,16,0,0
114443,17,1,7
114444,18,2,6
114445,19,3,5
114446,20,4,4
114451,16,0,0
114452,17,1,7
114453,18,2,6
114454,19,3,5
114455,20,4,4
114456,21,5,3
114461,17,1,7
114462,18,2,6
114463,19,3,5
114464,20,4,4
114465,21,5,3
114466,22,6,2
114511,13,5,3
114512,14,6,2
114513,15,7,1
114514,16,0,0
114515,17,1,7
114516,18,2,6
114521,14,6,2
114522,15,7,1
114523,16,0,0
114524,17,1,7
114525,18,2,6
114526,19,3,5
114531,15,7,1
114532,16,0,0
114533,17,1,7
114534,18,2,6
114535,19,3,5
114536,20,4,4
114541,16,0,0
114542,17,1,7
114543,18,2,6
114544,19,3,5
114545,20,4,4
114546,21,5,3
114551,17,1,7
114552,18,2,6
114553,19,3,5
114554,20,4,4
114555,21,5,3
114556,22,6,2
114561,18,2,6
114562,19,3,5
114563,20,4,4
114564,21,5,3
114565,22,6,2
114566,23,7,1
114611,14,6,2
114612,15,7,1
114613,16,0,0
114614,17,1,7
114615,18,2,6
114616,19,3,5
114621,15,7,1
114622,16,0,0
114623,17,1,7
114624,18,2,6
114625,19,3,5
114626,20,4,4
114631,16,0,0
114632,17,1,7
114633,18,2,6
114634,19,3,5
114635,20,4,4
114636,21,5,3
114641,17,1,7
114642,18,2,6
114643,19,3,5
114644,20,4,4
114645,21,5,3
114646,22,6,2
114651,18,2,6
114652,19,3,5
114653,20,4,4
114654,21,5,3
114655,22,6,2
114656,23,7,1
114661,19,3,5
114662,20,4,4
114663,21,5,3
114664,22,6,2
114665,23,7,1
114666,24,0,0
115111,10,2,6
115112,11,3,5
115113,12,4,4
115114,13,5,3
115115,14,6,2
115116,15,7,1
115121,11,3,5
115122,12,4,4
115123,13,5,3
115124,14,6,2
115125,15,7,1
115126,16,0,0
115131,12,4,4
115132,13,5,3
115133,14,6,2
115134,15,7,1
115135,16,0,0
115136,17,1,7
115141,13,5,3
115142,14,6,2
115143,15,7,1
115144,16,0,0
115145,17,1,7
115146,18,2,6
115151,14,6,2
115152,15,7,1
115153,16,0,0
115154,17,1,7
115155,18,2,6
115156,19,3,5
115161,15,7,1
115162,16,0,0
115163,17,1,7
115164,18,2,6
115165,19,3,5
115166,20,4,4
115211,11,3,5
115212,12,4,4
115213,13,5,3
115214,14,6,2
115215,15,7,1
115216,16,0,0
115221,12,4,4
115222,13,5,3
115223,14,6,2
115224,15,7,1
115225,16,0,0
115226,17,1,7
115231,13,5,3
115232,14,6,2
115233,15,7,1
115234,16,0,0
115235,17,1,7
115236,18,2,6
115241,14,6,2
115242,15,7,1
115243,16,0,0
115244,17,1,7
115245,18,2,6
115246,19,3,5
115251,15,7,1
115252,16,0,0
115253,17,1,7
115254,18,2,6
115255,19,3,5
115256,20,4,4
115261,16,0,0
115262,17,1,7
115263,18,2,6
115264,19,3,5
115265,20,4,4
115266,21,5,3
115311,12,4,4
115312,13,5,3
115313,14,6,2
115314,15,7,1
115315,16,0,0
115316,17,1,7
115321,13,5,3
115322,14,6,2
115323,15,7,1
115324,16,0,0
115325,17,1,7
115326,18,2,6
115331,14,6,2
115332,15,7,1
115333,16,0,0
115334,17,1,7
115335,18,2,6
115336,19,3,5
115341,15,7,1
115342,16,0,0
115343,17,1,7
115344,18,2,6
115345,19,3,5
115346,20,4,4
115351,16,0,0
115352,17,1,7
115353,18,2,6
115354,19,3,5
115355,20,4,4
115356,21,5,3
115361,17,1,7
115362,18,2,6
115363,19,3,5
115364,20,4,4
115365,21,5,3
115366,22,6,2
115411,13,5,3
115412,14,6,2
115413,15,7,1
115414,16,0,0
115415,17,1,7
115416,18,2,6
115421,14,6,2
115422,15,7,1
115423,16,0,0
115424,17,1,7
115425,18,2,6
115426,19,3,5
115431,15,7,1
115432,16,0,0
115433,17,1,7
115434,18,2,6
115435,19,3,5
115436,20,4,4
115441,16,0,0
115442,17,1,7
115443,18,2,6
115444,19,3,5
115445,20,4,4
115446,21,5,3
115451,17,1,7
115452,18,2,6
115453,19,3,5
115454,20,4,4
115455,21,5,3
115456,22,6,2
115461,18,2,6
115462,19,3,5
115463,20,4,4
