Five-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
22112,8,0,0
22113,9,1,7
22114,10,2,6
22115,11,3,5
22116,12,4,4
22121,8,0,0
22122,9,1,7
22123,10,2,6
22124,11,3,5
22125,12,4,4
22126,13,5,3
22131,9,1,7
22132,10,2,6
22133,11,3,5
22134,12,4,4
22135,13,5,3
22136,14,6,2
22141,10,2,6
22142,11,3,5
22143,12,4,4
22144,13,5,3
22145,14,6,2
22146,15,7,1
22151,11,3,5
22152,12,4,4
22153,13,5,3
22154,14,6,2
22155,15,7,1
22156,16,0,0
22161,12,4,4
22162,13,5,3
22163,14,6,2
22164,15,7,1
22165,16,0,0
22166,17,1,7
22211,8,0,0
22212,9,1,7
22213,10,2,6
22214,11,3,5
22215,12,4,4
22216,13,5,3
22221,9,1,7
22222,10,2,6
22223,11,3,5
22224,12,4,4
22225,13,5,3
22226,14,6,2
22231,10,2,6
22232,11,3,5
22233,12,4,4
22234,13,5,3
22235,14,6,2
22236,15,7,1
22241,11,3,5
22242,12,4,4
22243,13,5,3
22244,14,6,2
22245,15,7,1
22246,16,0,0
22251,12,4,4
22252,13,5,3
22253,14,6,2
22254,15,7,1
22255,16,0,0
22256,17,1,7
22261,13,5,3
22262,14,6,2
22263,15,7,1
22264,16,0,0
22265,17,1,7
22266,18,2,6
22311,9,1,7
22312,10,2,6
22313,11,3,5
22314,12,4,4
22315,13,5,3
22316,14,6,2
22321,10,2,6
22322,11,3,5
22323,12,4,4
22324,13,5,3
22325,14,6,2
22326,15,7,1
22331,11,3,5
22332,12,4,4
22333,13,5,3
22334,14,6,2
22335,15,7,1
22336,16,0,0
22341,12,4,4
22342,13,5,3
22343,14,6,2
22344,15,7,1
22345,16,0,0
22346,17,1,7
22351,13,5,3
22352,14,6,2
22353,15,7,1
22354,16,0,0
22355,17,1,7
22356,18,2,6
22361,14,6,2
22362,15,7,1
22363,16,0,0
22364,17,1,7
22365,18,2,6
22366,19,3,5
22411,10,2,6
22412,11,3,5
22413,12,4,4
22414,13,5,3
22415,14,6,2
22416,15,7,1
22421,11,3,5
22422,12,4,4
22423,13,5,3
22424,14,6,2
22425,15,7,1
22426,16,0,0
22431,12,4,4
22432,13,5,3
22433,14,6,2
22434,15,7,1
22435,16,0,0
22436,17,1,7
22441,13,5,3
22442,14,6,2
22443,15,7,1
22444,16,0,0
22445,17,1,7
22446,18,2,6
22451,14,6,2
22452,15,7,1
22453,16,0,0
22454,17,1,7
22455,18,2,6
22456,19,3,5
22461,15,7,1
22462,16,0,0
22463,17,1,7
22464,18,2,6
22465,19,3,5
22466,20,4,4
22511,11,3,5
22512,12,4,4
22513,13,5,3
22514,14,6,2
22515,15,7,1
22516,16,0,0
22521,12,4,4
22522,13,5,3
22523,14,6,2
22524,15,7,1
22525,16,0,0
22526,17,1,7
22531,13,5,3
22532,14,6,2
22533,15,7,1
22534,16,0,0
22535,17,1,7
22536,18,2,6
22541,14,6,2
22542,15,7,1
22543,16,0,0
22544,17,1,7
22545,18,2,6
22546,19,3,5
22551,15,7,1
22552,16,0,0
22553,17,1,7
22554,18,2,6
22555,19,3,5
22556,20,4,4
22561,16,0,0
22562,17,1,7
22563,18,2,6
22564,19,3,5
22565,20,4,4
22566,21,5,3
22611,12,4,4
22612,13,5,3
22613,14,6,2
22614,15,7,1
22615,16,0,0
22616,17,1,7
22621,13,5,3
22622,14,6,2
22623,15,7,1
22624,16,0,0
22625,17,1,7
22626,18,2,6
22631,14,6,2
22632,15,7,1
22633,16,0,0
22634,17,1,7
22635,18,2,6
22636,19,3,5
22641,15,7,1
22642,16,0,0
22643,17,1,7
22644,18,2,6
22645,19,3,5
22646,20,4,4
22651,16,0,0
22652,17,1,7
22653,18,2,6
22654,19,3,5
22655,20,4,4
22656,21,5,3
22661,17,1,7
22662,18,2,6
22663,19,3,5
22664,20,4,4
22665,21,5,3
22666,22,6,2
23111,8,0,0
23112,9,1,7
23113,10,2,6
23114,11,3,5
23115,12,4,4
23116,13,5,3
23121,9,1,7
23122,10,2,6
23123,11,3,5
23124,12,4,4
23125,13,5,3
23126,14,6,2
23131,10,2,6
23132,11,3,5
23133,12,4,4
23134,13,5,3
23135,14,6,2
23136,15,7,1
23141,11,3,5
23142,12,4,4
23143,13,5,3
23144,14,6,2
23145,15,7,1
23146,16,0,0
23151,12,4,4
23152,13,5,3
23153,14,6,2
23154,15,7,1
23155,16,0,0
23156,17,1,7
23161,13,5,3
23162,14,6,2
23163,15,7,1
23164,16,0,0
23165,17,1,7
23166,18,2,6
23211,9,1,7
23212,10,2,6
23213,11,3,5
23214,12,4,4
23215,13,5,3
23216,14,6,2
23221,10,2,6
23222,11,3,5
23223,12,4,4
23224,13,5,3
23225,14,6,2
23226,15,7,1
23231,11,3,5
23232,12,4,4
23233,13,5,3
23234,14,6,2
23235,15,7,1
23236,16,0,0
23241,12,4,4
23242,13,5,3
23243,14,6,2
23244,15,7,1
23245,16,0,0
23246,17,1,7
23251,13,5,3
23252,14,6,2
23253,15,7,1
23254,16,0,0
23255,17,1,7
23256,18,2,6
23261,14,6,2
23262,15,7,1
23263,16,0,0
23264,17,1,7
23265,18,2,6
23266,19,3,5
23311,10,2,6
23312,11,3,5
23313,12,4,4
23314,13,5,3
23315,14,6,2
23316,15,7,1
23321,11,3,5
23322,12,4,4
23323,13,5,3
23324,14,6,2
23325,15,7,1
23326,16,0,0
23331,12,4,4
23332,13,5,3
23333,14,6,2
23334,15,7,1
23335,16,0,0
23336,17,1,7
23341,13,5,3
23342,14,6,2
23343,15,7,1
23344,16,0,0
23345,17,1,7
23346,18,2,6
23351,14,6,2
23352,15,7,1
23353,16,0,0
23354,17,1,7
23355,18,2,6
23356,19,3,5
23361,15,7,1
23362,16,0,0
23363,17,1,7
23364,18,2,6
23365,19,3,5
23366,20,4,4
23411,11,3,5
23412,12,4,4
23413,13,5,3
23414,14,6,2
23415,15,7,1
23416,16,0,0
23421,12,4,4
23422,13,5,3
23423,14,6,2
23424,15,7,1
23425,16,0,0
23426,17,1,7
23431,13,5,3
23432,14,6,2
23433,15,7,1
23434,16,0,0
23435,17,1,7
23436,18,2,6
23441,14,6,2
23442,15,7,1
23443,16,0,0
23444,17,1,7
23445,18,2,6
23446,19,3,5
23451,15,7,1
23452,16,0,0
23453,17,1,7
23454,18,2,6
23455,19,3,5
23456,20,4,4
23461,16,0,0
23462,17,1,7
23463,18,2,6
23464,19,3,5
23465,20,4,4
23466,21,5,3
23511,12,4,4
23512,13,5,3
23513,14,6,2
23514,15,7,1
23515,16,0,0
23516,17,1,7
23521,13,5,3
23522,14,6,2
23523,15,7,1
23524,16,0,0
23525,17,1,7
23526,18,2,6
23531,14,6,2
23532,15,7,1
23533,16,0,0
23534,17,1,7
23535,18,2,6
23536,19,3,5
23541,15,7,1
23542,16,0,0
23543,17,1,7
23544,18,2,6
23545,19,3,5
23546,20,4,4
23551,16,0,0
23552,17,1,7
23553,18,2,6
23554,19,3,5
23555,20,4,4
23556,21,5,3
23561,17,1,7
23562,18,2,6
23563,19,3,5
23564,20,4,4
23565,21,5,3
23566,22,6,2
23611,13,5,3
23612,14,6,2
23613,15,7,1
23614,16,0,0
23615,17,1,7
23616,18,2,6
23621,14,6,2
23622,15,7,1
23623,16,0,0
23624,17,1,7
23625,18,2,6
23626,19,3,5
23631,15,7,1
23632,16,0,0
23633,17,1,7
23634,18,2,6
23635,19,3,5
23636,20,4,4
23641,16,0,0
23642,17,1,7
23643,18,2,6
23644,19,3,5
23645,20,4,4
23646,21,5,3
23651,17,1,7
23652,18,2,6
23653,19,3,5
23654,20,4,4
23655,21,5,3
23656,22,6,2
23661,18,2,6
23662,19,3,5
23663,20,4,4
23664,21,5,3
23665,22,6,2
23666,23,7,1
24111,9,1,7
24112,10,2,6
24113,11,3,5
24114,12,4,4
24115,13,5,3
24116,14,6,2
24121,10,2,6
24122,11,3,5
24123,12,4,4
24124,13,5,3
24125,14,6,2
24126,15,7,1
24131,11,3,5
24132,12,4,4
24133,13,5,3
24134,14,6,2
24135,15,7,1
24136,16,0,0
24141,12,4,4
24142,13,5,3
24143,14,6,2
24144,15,7,1
24145,16,0,0
24146,17,1,7
24151,13,5,3
24152,14,6,2
24153,15,7,1
24154,16,0,0
24155,17,1,7
24156,18,2,6
24161,14,6,2
24162,15,7,1
24163,16,0,0
24164,17,1,7
24165,18,2,6
24166,19,3,5
24211,10,2,6
24212,11,3,5
24213,12,4,4
24214,13,5,3
24215,14,6,2
24216,15,7,1
24221,11,3,5
24222,12,4,4
24223,13,5,3
24224,14,6,2
24225,15,7,1
24226,16,0,0
24231,12,4,4
24232,13,5,3
24233,14,6,2
24234,15,7,1
24235,16,0,0
24236,17,1,7
24241,13,5,3
24242,14,6,2
24243,15,7,1
24244,16,0,0
24245,17,1,7
24246,18,2,6
24251,14,6,2
24252,15,7,1
24253,16,0,0
24254,17,1,7
24255,18,2,6
24256,19,3,5
24261,15,7,1
24262,16,0,0
24263,17,1,7
24264,18,2,6
24265,19,3,5
24266,20,4,4
24311,11,3,5
24312,12,4,4
24313,13,5,3
24314,14,6,2
24315,15,7,1
24316,16,0,0
24321,12,4,4
24322,13,5,3
24323,14,6,2
24324,15,7,1
24325,16,0,0
24326,17,1,7
24331,13,5,3
24332,14,6,2
24333,15,7,1
24334,16,0,0
24335,17,1,7
24336,18,2,6
24341,14,6,2
24342,15,7,1
24343,16,0,0
24344,17,1,7
24345,18,2,6
24346,19,3,5
24351,15,7,1
24352,16,0,0
24353,17,1,7
24354,18,2,6
24355,19,3,5
24356,20,4,4
24361,16,0,0
24362,17,1,7
24363,18,2,6
24364,19,3,5
24365,20,4,4
24366,21,5,3
24411,12,4,4
24412,13,5,3
24413,14,6,2
24414,15,7,1
24415,16,0,0
24416,17,1,7
24421,13,5,3
24422,14,6,2
24423,15,7,1
24424,16,0,0
24425,17,1,7
24426,18,2,6
24431,14,6,2
24432,15,7,1
24433,16,0,0
24434,17,1,7
24435,18,2,6
24436,19,3,5
24441,15,7,1
24442,16,0,0
24443,17,1,7
24444,18,2,6
24445,19,3,5
24446,20,4,4
24451,16,0,0
24452,17,1,7
24453,18,2,6
24454,19,3,5
24455,20,4,4
24456,21,5,3
24461,17,1,7
24462,18,2,6
24463,19,3,5
24464,20,4,4
24465,21,5,3
24466,22,6,2
24511,13,5,3
24512,14,6,2
24513,15,7,1
24514,16,0,0
24515,17,1,7
24516,18,2,6
24521,14,6,2
24522,15,7,1
24523,16,0,0
24524,17,1,7
24525,18,2,6
24526,19,3,5
24531,15,7,1
24532,16,0,0
24533,17,1,7
24534,18,2,6
24535,19,3,5
24536,20,4,4
24541,16,0,0
24542,17,1,7
24543,18,2,6
24544,19,3,5
24545,20,4,4
24546,21,5,3
24551,17,1,7
24552,18,2,6
24553,19,3,5
24554,20,4,4
24555,21,5,3
24556,22,6,2
24561,18,2,6
24562,19,3,5
24563,20,4,4
24564,21,5,3
24565,22,6,2
24566,23,7,1
24611,14,6,2
24612,15,7,1
24613,16,0,0
24614,17,1,7
24615,18,2,6
24616,19,3,5
24621,15,7,1
24622,16,0,0
24623,17,1,7
24624,18,2,6
24625,19,3,5
24626,20,4,4
24631,16,0,0
24632,17,1,7
24633,18,2,6
24634,19,3,5
24635,20,4,4
24636,21,5,3
24641,17,1,7
24642,18,2,6
24643,19,3,5
24644,20,4,4
24645,21,5,3
24646,22,6,2
24651,18,2,6
24652,19,3,5
24653,20,4,4
24654,21,5,3
24655,22,6,2
24656,23,7,1
24661,19,3,5
24662,20,4,4
24663,21,5,3
24664,22,6,2
24665,23,7,1
24666,24,0,0
25111,10,2,6
25112,11,3,5
25113,12,4,4
25114,13,5,3
25115,14,6,2
25116,15,7,1
25121,11,3,5
25122,12,4,4
25123,13,5,3
25124,14,6,2
25125,15,7,1
25126,16,0,0
25131,12,4,4
25132,13,5,3
25133,14,6,2
25134,15,7,1
25135,16,0,0
25136,17,1,7
25141,13,5,3
25142,14,6,2
25143,15,7,1
25144,16,0,0
25145,17,1,7
25146,18,2,6
25151,14,6,2
25152,15,7,1
25153,16,0,0
25154,17,1,7
25155,18,2,6
25156,19,3,5
25161,15,7,1
25162,16,0,0
25163,17,1,7
25164,18,2,6
25165,19,3,5
25166,20,4,4
25211,11,3,5
25212,12,4,4
25213,13,5,3
25214,14,6,2
25215,15,7,1
25216,16,0,0
25221,12,4,4
25222,13,5,3
25223,14,6,2
25224,15,7,1
25225,16,0,0
25226,17,1,7
25231,13,5,3
25232,14,6,2
25233,15,7,1
25234,16,0,0
25235,17,1,7
25236,18,2,6
25241,14,6,2
25242,15,7,1
25243,16,0,0
25244,17,1,7
25245,18,2,6
25246,19,3,5
25251,15,7,1
25252,16,0,0
25253,17,1,7
25254,18,2,6
25255,19,3,5
25256,20,4,4
25261,16,0,0
25262,17,1,7
25263,18,2,6
25264,19,3,5
25265,20,4,4
25266,21,5,3
25311,12,4,4
25312,13,5,3
25313,14,6,2
25314,15,7,1
25315,16,0,0
25316,17,1,7
25321,13,5,3
25322,14,6,2
25323,15,7,1
25324,16,0,0
25325,17,1,7
25326,18,2,6
25331,14,6,2
25332,15,7,1
25333,16,0,0
25334,17,1,7
25335,18,2,6
25336,19,3,5
25341,15,7,1
25342,16,0,0
25343,17,1,7
25344,18,2,6
25345,19,3,5
25346,20,4,4
25351,16,0,0
25352,17,1,7
25353,18,2,6
25354,19,3,5
25355,20,4,4
25356,21,5,3
25361,17,1,7
25362,18,2,6
25363,19,3,5
25364,20,4,4
25365,21,5,3
25366,22,6,2
25411,13,5,3
25412,14,6,2
25413,15,7,1
25414,16,0,0
25415,17,1,7
25416,18,2,6
25421,14,6,2
25422,15,7,1
25423,16,0,0
25424,17,1,7
25425,18,2,6
25426,19,3,5
25431,15,7,1
25432,16,0,0
25433,17,1,7
25434,18,2,6
25435,19,3,5
25436,20,4,4
25441,16,0,0
25442,17,1,7
25443,18,2,6
25444,19,3,5
25445,20,4,4
25446,21,5,3
25451,17,1,7
25452,18,2,6
25453,19,3,5
25454,20,4,4
25455,21,5,3
25456,22,6,2
25461,18,2,6
25462,19,3,5
25463,20,4,4
25464,21,5,3
25465,22,6,2
25466,23,7,1
25511,14,6,2
25512,15,7,1
25513,16,0,0
25514,17,1,7
25515,18,2,6
25516,19,3,5
25521,15,7,1
25522,16,0,0
25523,17,1,7
25524,18,2,6
25525,19,3,5
25526,20,4,4
25531,16,0,0
25532,17,1,7
25533,18,2,6
25534,19,3,5
25535,20,4,4
25536,21,5,3
25541,17,1,7
25542,18,2,6
25543,19,3,5
25544,20,4,4
25545,21,5,3
25546,22,6,2
25551,18,2,6
25552,19,3,5
25553,20,4,4
25554,21,5,3
25555,22,6,2
25556,23,7,1
25561,19,3,5
25562,20,4,4
25563,21,5,3
25564,22,6,2
25565,23,7,1
25566,24,0,0
25611,15,7,1
25612,16,0,0
25613,17,1,7
25614,18,2,6
25615,19,3,5
25616,20,4,4
25621,16,0,0
25622,17,1,7
25623,18,2,6
25624,19,3,5
25625,20,4,4
25626,21,5,3
25631,17,1,7
25632,18,2,6
25633,19,3,5
25634,20,4,4
25635,21,5,3
25636,22,6,2
25641,18,2,6
25642,19,3,5
25643,20,4,4
25644,21,5,3
25645,22,6,2
25646,23,7,1
25651,19,3,5
25652,20,4,4
25653,21,5,3
25654,22,6,2
25655,23,7,1
25656,24,0,0
25661,20,4,4
25662,21,5,3
25663,22,6,2
25664,23,7,1
25665,24,0,0
25666,25,1,7
26111,11,3,5
26112,12,4,4
26113,13,5,3
26114,14,6,2
26115,15,7,1
26116,16,0,0
26121,12,4,4
26122,13,5,3
26123,14,6,2
26124,15,7,1
26125,16,0,0
26126,17,1,7
26131,13,5,3
26132,14,6,2
26133,15,7,1
26134,16,0,0
26135,17,1,7
26136,18,2,6
26141,14,6,2
26142,15,7,1
26143,16,0,0
26144,17,1,7
26145,18,2,6
26146,19,3,5
26151,15,7,1
26152,16,0,0
26153,17,1,7
26154,18,2,6
26155,19,3,5
26156,20,4,4
26161,16,0,0
26162,17,1,7
26163,18,2,6
26164,19,3,5
26165,20,4,4
26166,21,5,3
26211,12,4,4
26212,13,5,3
26213,14,6,2
26214,15,7,1
26215,16,0,0
26216,17,1,7
26221,13,5,3
26222,14,6,2
26223,15,7,1
26224,16,0,0
26225,17,1,7
26226,18,2,6
26231,14,6,2
26232,15,7,1
26233,16,0,0
26234,17,1,7
26235,18,2,6
26236,19,3,5
26241,15,7,1
26242,16,0,0
26243,17,1,7
26244,18,2,6
26245,19,3,5
26246,20,4,4
26251,16,0,0
26252,17,1,7
26253,18,2,6
26254,19,3,5
26255,20,4,4
26256,21,5,3
26261,17,1,7
26262,18,2,6
26263,19,3,5
26264,20,4,4
26265,21,5,3
26266,22,6,2
26311,13,5,3
26312,14,6,2
26313,15,7,1
26314,16,0,0
26315,17,1,7
26316,18,2,6
26321,14,6,2
26322,15,7,1
26323,16,0,0
26324,17,1,7
26325,18,2,6
26326,19,3,5
26331,15,7,1
26332,16,0,0
26333,17,1,7
26334,18,2,6
26335,19,3,5
26336,20,4,4
26341,16,0,0
26342,17,1,7
26343,18,2,6
26344,19,3,5
26345,20,4,4
26346,21,5,3
26351,17,1,7
26352,18,2,6
26353,19,3,5
26354,20,4,4
26355,21,5,3
26356,22,6,2
26361,18,2,6
26362,19,3,5
26363,20,4,4
26364,21,5,3
26365,22,6,2
26366,23,7,1
26411,14,6,2
26412,15,7,1
26413,16,0,0
26414,17,1,7
26415,18,2,6
26416,19,3,5
26421,15,7,1
26422,16,0,0
26423,17,1,7
26424,18,2,6
26425,19,3,5
26426,20,4,4
26431,16,0,0
26432,17,1,7
26433,18,2,6
26434,19,3,5
26435,20,4,4
26436,21,5,3
26441,17,1,7
26442,18,2,6
26443,19,3,5
26444,20,4,4
26445,21,5,3
26446,22,6,2
26451,18,2,6
26452,19,3,5
26453,20,4,4
26454,21,5,3
26455,22,6,2
26456,23,7,1
26461,19,3,5
26462,20,4,4
26463,21,5,3
26464,22,6,2
26465,23,7,1
26466,24,0,0
26511,15,7,1
26512,16,0,0
26513,17,1,7
26514,18,2,6
26515,19,3,5
26516,20,4,4
26521,16,0,0
26522,17,1,7
26523,18,2,6
26524,19,3,5
26525,20,4,4
26526,21,5,3
26531,17,1,7
26532,18,2,6
26533,19,3,5
26534,20,4,4
26535,21,5,3
26536,22,6,2
26541,18,2,6
26542,19,3,5
26543,20,4,4
26544,21,5,3
26545,22,6,2
26546,23,7,1
26551,19,3,5
26552,20,4,4
26553,21,5,3
26554,22,6,2
26555,23,7,1
26556,24,0,0
26561,20,4,4
26562,21,5,3
26563,22,6,2
26564,23,7,1
26565,24,0,0
26566,25,1,7
26611,16,0,0
26612,17,1,7
26613,18,2,6
26614,19,3,5
26615,20,4,4
26616,21,5,3
26621,17,1,7
26622,18,2,6
26623,19,3,5
26624,20,4,4
26625,21,5,3
26626,22,6,2
26631,18,2,6
26632,19,3,5
26633,20,4,4
26634,21,5,3
26635,22,6,2
26636,23,7,1
26641,19,3,5
26642,20,4,4
26643,21,5,3
26644,22,6,2
26645,23,7,1
26646,24,0,0
26651,20,4,4
26652,21,5,3
26653,22,6,2
26654,23,7,1
26655,24,0,0
26656,25,1,7
26661,21,5,3
26662,22,6,2
26663,23,7,1
26664,24,0,0
26665,25,1,7
26666,26,2,6
31111,7,7,1
31112,8,0,0
31113,9,1,7
31114,10,2,6
31115,11,3,5
31116,12,4,4
31121,8,0,0
31122,9,1,7
31123,10,2,6
31124,11,3,5
31125,12,4,4
31126,13,5,3
31131,9,1,7
31132,10,2,6
31133,11,3,5
31134,12,4,4
31135,13,5,3
31136,14,6,2
31141,10,2,6
31142,11,3,5
31143,12,4,4
31144,13,5,3
31145,14,6,2
31146,15,7,1
31151,11,3,5
31152,12,4,4
31153,13,5,3
31154,14,6,2
31155,15,7,1
31156,16,0,0
31161,12,4,4
31162,13,5,3
31163,14,6,2
31164,15,7,1
31165,16,0,0
31166,17,1,7
31211,8,0,0
31212,9,1,7
31213,10,2,6
31214,11,3,5
31215,12,4,4
31216,13,5,3
31221,9,1,7
31222,10,2,6
31223,11,3,5
31224,12,4,4
31225,13,5,3
31226,14,6,2
31231,10,2,6
31232,11,3,5
31233,12,4,4
31234,13,5,3
31235,14,6,2
31236,15,7,1
31241,11,3,5
31242,12,4,4
31243,13,5,3
31244,14,6,2
31245,15,7,1
31246,16,0,0
31251,12,4,4
31252,13,5,3
31253,14,6,2
31254,15,7,1
31255,16,0,0
31256,17,1,7
31261,13,5,3
31262,14,6,2
31263,15,7,1
31264,16,0,0
31265,17,1,7
31266,18,2,6
31311,9,1,7
31312,10,2,6
31313,11,3,5
31314,12,4,4
31315,13,5,3
31316,14,6,2
31321,10,2,6
31322,11,3,5
31323,12,4,4
31324,13,5,3
31325,14,6,2
31326,15,7,1
31331,11,3,5
31332,12,4,4
31333,13,5,3
31334,14,6,2
31335,15,7,1
31336,16,0,0
31341,12,4,4
31342,13,5,3
31343,14,6,2
31344,15,7,1
31345,16,0,0
31346,17,1,7
31351,13,5,3
31352,14,6,2
31353,15,7,1
31354,16,0,0
31355,17,1,7
31356,18,2,6
31361,14,6,2
31362,15,7,1
31363,16,0,0
31364,17,1,7
31365,18,2,6
31366,19,3,5
31411,10,2,6
31412,11,3,5
31413,12,4,4
31414,13,5,3
31415,14,6,2
31416,15,7,1
31421,11,3,5
31422,12,4,4
31423,13,5,3
31424,14,6,2
31425,15,7,1
31426,16,0,0
31431,12,4,4
31432,13,5,3
31433,14,6,2
31434,15,7,1
31435,16,0,0
31436,17,1,7
31441,13,5,3
31442,14,6,2
31443,15,7,1
31444,16,0,0
31445,17,1,7
31446,18,2,6
31451,14,6,2
31452,15,7,1
31453,16,0,0
31454,17,1,7
31455,18,2,6
31456,19,3,5
31461,15,7,1
31462,16,0,0
31463,17,1,7
31464,18,2,6
31465,19,3,5
31466,20,4,4
31511,11,3,5
31512,12,4,4
31513,13,5,3
31514,14,6,2
31515,15,7,1
31516,16,0,0
31521,12,4,4
31522,13,5,3
31523,14,6,2
31524,15,7,1
31525,16,0,0
31526,17,1,7
31531,13,5,3
31532,14,6,2
31533,15,7,1
31534,16,0,0
31535,17,1,7
31536,18,2,6
31541,14,6,2
31542,15,7,1
31543,16,0,0
31544,17,1,7
31545,18,2,6
31546,19,3,5
31551,15,7,1
31552,16,0,0
31553,17,1,7
31554,18,2,6
31555,19,3,5
31556,20,4,4
31561,16,0,0
31562,17,1,7
31563,18,2,6
31564,19,3,5
31565,20,4,4
31566,21,5,3
31611,12,4,4
31612,13,5,3
31613,14,6,2
31614,15,7,1
31615,16,0,0
31616,17,1,7
31621,13,5,3
31622,14,6,2
31623,15,7,1
31624,16,0,0
31625,17,1,7
31626,18,2,6
31631,14,6,2
31632,15,7,1
31633,16,0,0
31634,17,1,7
31635,18,2,6
31636,19,3,5
31641,15,7,1
31642,16,0,0
31643,17,1,7
31644,18,2,6
31645,19,3,5
31646,20,4,4
31651,16,0,0
31652,17,1,7
31653,18,2,6
31654,19,3,5
31655,20,4,4
31656,21,5,3
31661,17,1,7
31662,18,2,6
31663,19,3,5
31664,20,4,4
31665,21,5,3
31666,22,6,2
32111,8,0,0
32112,9,1,7
32113,10,2,6
32114,11,3,5
32115,12,4,4
32116,13,5,3
32121,9,1,7
32122,10,2,6
32123,11,3,5
32124,12,4,4
32125,13,5,3
32126,14,6,2
32131,10,2,6
32132,11,3,5
32133,12,4,4
32134,13,5,3
32135,14,6,2
32136,15,7,1
32141,11,3,5
32142,12,4,4
32143,13,5,3
32144,14,6,2
32145,15,7,1
32146,16,0,0
32151,12,4,4
32152,13,5,3
32153,14,6,2
32154,15,7,1
32155,16,0,0
32156,17,1,7
32161,13,5,3
32162,14,6,2
32163,15,7,1
32164,16,0,0
32165,17,1,7
32166,18,2,6
32211,9,1,7
32212,10,2,6
32213,11,3,5
32214,12,4,4
32215,13,5,3
32216,14,6,2
32221,10,2,6
32222,11,3,5
32223,12,4,4
32224,13,5,3
32225,14,6,2
32226,15,7,1
32231,11,3,5
32232,12,4,4
32233,13,5,3
32234,14,6,2
32235,15,7,1
32236,16,0,0
32241,12,4,4
32242,13,5,3
32243,14,6,2
32244,15,7,1
32245,16,0,0
32246,17,1,7
32251,13,5,3
32252,14,6,2
32253,15,7,1
32254,16,0,0
32255,17,1,7
32256,18,2,6
32261,14,6,2
32262,15,7,1
32263,16,0,0
32264,17,1,7
32265,18,2,6
32266,19,3,5
32311,10,2,6
32312,11,3,5
32313,12,4,4
32314,13,5,3
32315,14,6,2
32316,15,7,1
32321,11,3,5
32322,12,4,4
32323,13,5,3
32324,14,6,2
32325,15,7,1
32326,16,0,0
32331,12,4,4
32332,13,5,3
32333,14,6,2
32334,15,7,1
32335,16,0,0
32336,17,1,7
32341,13,5,3
32342,14,6,2
32343,15,7,1
32344,16,0,0
32345,17,1,7
32346,18,2,6
32351,14,6,2
32352,15,7,1
32353,16,0,0
32354,17,1,7
32355,18,2,6
32356,19,3,5
32361,15,7,1
32362,16,0,0
32363,17,1,7
32364,18,2,6
32365,19,3,5
32366,20,4,4
32411,11,3,5
32412,12,4,4
32413,13,5,3
32414,14,6,2
32415,15,7,1
32416,16,0,0
32421,12,4,4
32422,13,5,3
32423,14,6,2
32424,15,7,1
32425,16,0,0
32426,17,1,7
32431,13,5,3
32432,14,6,2
32433,15,7,1
32434,16,0,0
32435,17,1,7
32436,18,2,6
32441,14,6,2
32442,15,7,1
32443,16,0,0
32444,17,1,7
32445,18,2,6
32446,19,3,5
32451,15,7,1
32452,16,0,0
32453,17,1,7
32454,18,2,6
32455,19,3,5
32456,20,4,4
32461,16,0,0
32462,17,1,7
32463,18,2,6
32464,19,3,5
32465,20,4,4
32466,21,5,3
32511,12,4,4
32512,13,5,3
32513,14,6,2
32514,15,7,1
32515,16,0,0
32516,17,1,7
32521,13,5,3
32522,14,6,2
32523,15,7,1
32524,16,0,0
32525,17,1,7
32526,18,2,6
32531,14,6,2
32532,15,7,1
32533,16,0,0
32534,17,1,7
32535,18,2,6
32536,19,3,5
32541,15,7,1
32542,16,0,0
32543,17,1,7
32544,18,2,6
32545,19,3,5
32546,20,4,4
32551,16,0,0
32552,17,1,7
32553,18,2,6
32554,19,3,5
32555,20,4,4
32556,21,5,3
32561,17,1,7
32562,18,2,6
32563,19,3,5
32564,20,4,4
32565,21,5,3
32566,22,6,2
32611,13,5,3
32612,14,6,2
32613,15,7,1
32614,16,0,0
32615,17,1,7
32616,18,2,6
32621,14,6,2
32622,15,7,1
32623,16,0,0
32624,17,1,7
32625,18,2,6
32626,19,3,5
32631,15,7,1
32632,16,0,0
32633,17,1,7
32634,18,2,6
32635,19,3,5
32636,20,4,4
32641,16,0,0
32642,17,1,7
32643,18,2,6
32644,19,3,5
32645,20,4,4
32646,21,5,3
32651,17,1,7
32652,18,2,6
32653,19,3,5
32654,20,4,4
32655,21,5,3
32656,22,6,2
32661,18,2,6
32662,19,3,5
32663,20,4,4
32664,21,5,3
32665,22,6,2
32666,23,7,1
33111,9,1,7
33112,10,2,6
33113,11,3,5
33114,12,4,4
33115,13,5,3
33116,14,6,2
33121,10,2,6
33122,11,3,5
33123,12,4,4
33124,13,5,3
33125,14,6,2
33126,15,7,1
33131,11,3,5
33132,12,4,4
33133,13,5,3
33134,14,6,2
33135,15,7,1
33136,16,0,0
33141,12,4,4
33142,13,5,3
33143,14,6,2
33144,15,7,1
33145,16,0,0
33146,17,1,7
33151,13,5,3
33152,14,6,2
33153,15,7,1
33154,16,0,0
33155,17,1,7
33156,18,2,6
33161,14,6,2
33162,15,7,1
33163,16,0,0
33164,17,1,7
33165,18,2,6
33166,19,3,5
33211,10,2,6
33212,11,3,5
33213,12,4,4
33214,13,5,3
