Five-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
12454,16,0,0
12455,17,1,7
12456,18,2,6
12461,14,6,2
12462,15,7,1
12463,16,0,0
12464,17,1,7
12465,18,2,6
12466,19,3,5
12511,10,2,6
12512,11,3,5
12513,12,4,4
12514,13,5,3
12515,14,6,2
12516,15,7,1
12521,11,3,5
12522,12,4,4
12523,13,5,3
12524,14,6,2
12525,15,7,1
12526,16,0,0
12531,12,4,4
12532,13,5,3
12533,14,6,2
12534,15,7,1
12535,16,0,0
12536,17,1,7
12541,13,5,3
12542,14,6,2
12543,15,7,1
12544,16,0,0
12545,17,1,7
12546,18,2,6
12551,14,6,2
12552,15,7,1
12553,16,0,0
12554,17,1,7
12555,18,2,6
12556,19,3,5
12561,15,7,1
12562,16,0,0
12563,17,1,7
12564,18,2,6
12565,19,3,5
12566,20,4,4
12611,11,3,5
12612,12,4,4
12613,13,5,3
12614,14,6,2
12615,15,7,1
12616,16,0,0
12621,12,4,4
12622,13,5,3
12623,14,6,2
12624,15,7,1
12625,16,0,0
12626,17,1,7
12631,13,5,3
12632,14,6,2
12633,15,7,1
12634,16,0,0
12635,17,1,7
12636,18,2,6
12641,14,6,2
12642,15,7,1
12643,16,0,0
12644,17,1,7
12645,18,2,6
12646,19,3,5
12651,15,7,1
12652,16,0,0
12653,17,1,7
12654,18,2,6
12655,19,3,5
12656,20,4,4
12661,16,0,0
12662,17,1,7
12663,18,2,6
12664,19,3,5
12665,20,4,4
12666,21,5,3
13111,7,7,1
13112,8,0,0
13113,9,1,7
13114,10,2,6
13115,11,3,5
13116,12,4,4
13121,8,0,0
13122,9,1,7
13123,10,2,6
13124,11,3,5
13125,12,4,4
13126,13,5,3
13131,9,1,7
13132,10,2,6
13133,11,3,5
13134,12,4,4
13135,13,5,3
13136,14,6,2
13141,10,2,6
13142,11,3,5
13143,12,4,4
13144,13,5,3
13145,14,6,2
13146,15,7,1
13151,11,3,5
13152,12,4,4
13153,13,5,3
13154,14,6,2
13155,15,7,1
13156,16,0,0
13161,12,4,4
13162,13,5,3
13163,14,6,2
13164,15,7,1
13165,16,0,0
13166,17,1,7
13211,8,0,0
13212,9,1,7
13213,10,2,6
13214,11,3,5
13215,12,4,4
13216,13,5,3
13221,9,1,7
13222,10,2,6
13223,11,3,5
13224,12,4,4
13225,13,5,3
13226,14,6,2
13231,10,2,6
13232,11,3,5
13233,12,4,4
13234,13,5,3
13235,14,6,2
13236,15,7,1
13241,11,3,5
13242,12,4,4
13243,13,5,3
13244,14,6,2
13245,15,7,1
13246,16,0,0
13251,12,4,4
13252,13,5,3
13253,14,6,2
13254,15,7,1
13255,16,0,0
13256,17,1,7
13261,13,5,3
13262,14,6,2
13263,15,7,1
13264,16,0,0
13265,17,1,7
13266,18,2,6
13311,9,1,7
13312,10,2,6
13313,11,3,5
13314,12,4,4
13315,13,5,3
13316,14,6,2
13321,10,2,6
13322,11,3,5
13323,12,4,4
13324,13,5,3
13325,14,6,2
13326,15,7,1
13331,11,3,5
13332,12,4,4
13333,13,5,3
13334,14,6,2
13335,15,7,1
13336,16,0,0
13341,12,4,4
13342,13,5,3
13343,14,6,2
13344,15,7,1
13345,16,0,0
13346,17,1,7
13351,13,5,3
13352,14,6,2
13353,15,7,1
13354,16,0,0
13355,17,1,7
13356,18,2,6
13361,14,6,2
13362,15,7,1
13363,16,0,0
13364,17,1,7
13365,18,2,6
13366,19,3,5
13411,10,2,6
13412,11,3,5
13413,12,4,4
13414,13,5,3
13415,14,6,2
13416,15,7,1
13421,11,3,5
13422,12,4,4
13423,13,5,3
13424,14,6,2
13425,15,7,1
13426,16,0,0
13431,12,4,4
13432,13,5,3
13433,14,6,2
13434,15,7,1
13435,16,0,0
13436,17,1,7
13441,13,5,3
13442,14,6,2
13443,15,7,1
13444,16,0,0
13445,17,1,7
13446,18,2,6
13451,14,6,2
13452,15,7,1
13453,16,0,0
13454,17,1,7
13455,18,2,6
13456,19,3,5
13461,15,7,1
13462,16,0,0
13463,17,1,7
13464,18,2,6
13465,19,3,5
13466,20,4,4
13511,11,3,5
13512,12,4,4
13513,13,5,3
13514,14,6,2
13515,15,7,1
13516,16,0,0
13521,12,4,4
13522,13,5,3
13523,14,6,2
13524,15,7,1
13525,16,0,0
13526,17,1,7
13531,13,5,3
13532,14,6,2
13533,15,7,1
13534,16,0,0
13535,17,1,7
13536,18,2,6
13541,14,6,2
13542,15,7,1
13543,16,0,0
13544,17,1,7
13545,18,2,6
13546,19,3,5
13551,15,7,1
13552,16,0,0
13553,17,1,7
13554,18,2,6
13555,19,3,5
13556,20,4,4
13561,16,0,0
13562,17,1,7
13563,18,2,6
13564,19,3,5
13565,20,4,4
13566,21,5,3
13611,12,4,4
13612,13,5,3
13613,14,6,2
13614,15,7,1
13615,16,0,0
13616,17,1,7
13621,13,5,3
13622,14,6,2
13623,15,7,1
13624,16,0,0
13625,17,1,7
13626,18,2,6
13631,14,6,2
13632,15,7,1
13633,16,0,0
13634,17,1,7
13635,18,2,6
13636,19,3,5
13641,15,7,1
13642,16,0,0
13643,17,1,7
13644,18,2,6
13645,19,3,5
13646,20,4,4
13651,16,0,0
13652,17,1,7
13653,18,2,6
13654,19,3,5
13655,20,4,4
13656,21,5,3
13661,17,1,7
13662,18,2,6
13663,19,3,5
13664,20,4,4
13665,21,5,3
13666,22,6,2
14111,8,0,0
14112,9,1,7
14113,10,2,6
14114,11,3,5
14115,12,4,4
14116,13,5,3
14121,9,1,7
14122,10,2,6
14123,11,3,5
14124,12,4,4
14125,13,5,3
14126,14,6,2
14131,10,2,6
14132,11,3,5
14133,12,4,4
14134,13,5,3
14135,14,6,2
14136,15,7,1
14141,11,3,5
14142,12,4,4
14143,13,5,3
14144,14,6,2
14145,15,7,1
14146,16,0,0
14151,12,4,4
14152,13,5,3
14153,14,6,2
14154,15,7,1
14155,16,0,0
14156,17,1,7
14161,13,5,3
14162,14,6,2
14163,15,7,1
14164,16,0,0
14165,17,1,7
14166,18,2,6
14211,9,1,7
14212,10,2,6
14213,11,3,5
14214,12,4,4
14215,13,5,3
14216,14,6,2
14221,10,2,6
14222,11,3,5
14223,12,4,4
14224,13,5,3
14225,14,6,2
14226,15,7,1
14231,11,3,5
14232,12,4,4
14233,13,5,3
14234,14,6,2
14235,15,7,1
14236,16,0,0
14241,12,4,4
14242,13,5,3
14243,14,6,2
14244,15,7,1
14245,16,0,0
14246,17,1,7
14251,13,5,3
14252,14,6,2
14253,15,7,1
14254,16,0,0
14255,17,1,7
14256,18,2,6
14261,14,6,2
14262,15,7,1
14263,16,0,0
14264,17,1,7
14265,18,2,6
14266,19,3,5
14311,10,2,6
14312,11,3,5
14313,12,4,4
14314,13,5,3
14315,14,6,2
14316,15,7,1
14321,11,3,5
14322,12,4,4
14323,13,5,3
14324,14,6,2
14325,15,7,1
14326,16,0,0
14331,12,4,4
14332,13,5,3
14333,14,6,2
14334,15,7,1
14335,16,0,0
14336,17,1,7
14341,13,5,3
14342,14,6,2
14343,15,7,1
14344,16,0,0
14345,17,1,7
14346,18,2,6
14351,14,6,2
14352,15,7,1
14353,16,0,0
14354,17,1,7
14355,18,2,6
14356,19,3,5
14361,15,7,1
14362,16,0,0
14363,17,1,7
14364,18,2,6
14365,19,3,5
14366,20,4,4
14411,11,3,5
14412,12,4,4
14413,13,5,3
14414,14,6,2
14415,15,7,1
14416,16,0,0
14421,12,4,4
14422,13,5,3
14423,14,6,2
14424,15,7,1
14425,16,0,0
14426,17,1,7
14431,13,5,3
14432,14,6,2
14433,15,7,1
14434,16,0,0
14435,17,1,7
14436,18,2,6
14441,14,6,2
14442,15,7,1
14443,16,0,0
14444,17,1,7
14445,18,2,6
14446,19,3,5
14451,15,7,1
14452,16,0,0
14453,17,1,7
14454,18,2,6
14455,19,3,5
14456,20,4,4
14461,16,0,0
14462,17,1,7
14463,18,2,6
14464,19,3,5
14465,20,4,4
14466,21,5,3
14511,12,4,4
14512,13,5,3
14513,14,6,2
14514,15,7,1
14515,16,0,0
14516,17,1,7
14521,13,5,3
14522,14,6,2
14523,15,7,1
14524,16,0,0
14525,17,1,7
14526,18,2,6
14531,14,6,2
14532,15,7,1
14533,16,0,0
14534,17,1,7
14535,18,2,6
14536,19,3,5
14541,15,7,1
14542,16,0,0
14543,17,1,7
14544,18,2,6
14545,19,3,5
14546,20,4,4
14551,16,0,0
14552,17,1,7
14553,18,2,6
14554,19,3,5
14555,20,4,4
14556,21,5,3
14561,17,1,7
14562,18,2,6
14563,19,3,5
14564,20,4,4
14565,21,5,3
14566,22,6,2
14611,13,5,3
14612,14,6,2
14613,15,7,1
14614,16,0,0
14615,17,1,7
14616,18,2,6
14621,14,6,2
14622,15,7,1
14623,16,0,0
14624,17,1,7
14625,18,2,6
14626,19,3,5
14631,15,7,1
14632,16,0,0
14633,17,1,7
14634,18,2,6
14635,19,3,5
14636,20,4,4
14641,16,0,0
14642,17,1,7
14643,18,2,6
14644,19,3,5
14645,20,4,4
14646,21,5,3
14651,17,1,7
14652,18,2,6
14653,19,3,5
14654,20,4,4
